keys,_location,_description,en,es,zh,ja
FANYI.Placeholder,,保留位置，每种语言至少有一条翻译，否则csv读取会有问题,FANYI.Placeholder,FANYI.Placeholder,FANYI.Placeholder,FANYI.Placeholder
OPT.ShowLanguageSticker,script\name\Name.cs,选项 显示语言便签,Show language sticker ,,显示语言便签,
OPT.DismissLanguageSticker,script\name\Name.cs,选项 取消显示语言便签,Dismiss language sticker ,,取消显示语言便签,
OPT.SwitchDesktopEmbedMode,res://scene/main.tscn,选项 切换桌面嵌入模式,Switch desktop embed mode,,切换桌面嵌入模式,
OPT.ShowTutorialSticker,res://scene/main.tscn,,Show tutorial sticker,,显示教程便签,
OPT.DismissTutorialSticker,res://scene/main.tscn,,Dismiss tutorial sticker,,取消显示教程便签,
OPT.RestoreWindowPositionOnStart,res://scene/main.tscn,,Restore window position on start,,启动时恢复窗口位置,
BTN.DragHereToDelete,res://scene/main.tscn,主窗口删除区域文字,Drag here to delete,,拖到此处删除,
BTN.HoldAndDrag,res://scene/main.tscn,主窗口创建按钮按住并拖动,Hold and drag,,按住并拖动 ,
BTN.CreateNewTip,res://scene/main.tscn,主窗口创建按钮,Create new tip,,创建新的贴士,
TOOLTIP.VolumeAdjustOn,script\component\sticker\sound\BtnAsChangeVolume.cs,音量调整（开启时）,"Volume adjust is on, click to toggle\nCtrl + mouse scroll up/down: volume up/down\nMouse middle button: reset volume",,音量调整已开启，点击切换\nCtrl+鼠标滚轮：增大/减小音量\n鼠标中键：重置音量,
TOOLTIP.VolumeAdjustOff,script\component\sticker\sound\BtnAsChangeVolume.cs,音量调整（关闭时）,"Volume adjust is off, click to toggle\nCtrl + mouse scroll up/down: volume up/down\nMouse middle button: reset volume",,音量调整已关闭，点击切换\nCtrl+鼠标滚轮：增大/减小音量\n鼠标中键：重置音量,
TOOLTIP.LoopModeOn,script\component\sticker\sound\BtnAsSwitchLoopMode.cs,循环模式调整（开启时）,Loop mode is on (click to toggle),,循环播放已开启（点击切换）,
TOOLTIP.LoopModeOff,script\component\sticker\sound\BtnAsSwitchLoopMode.cs,循环模式调整（关闭时）,Loop mode is off (click to toggle),,循环播放已关闭（点击切换）,
TOOLTIP.OpenInFolder,res://scene/sticker/tip.tscn,tip在文件夹中开启按钮,Open in folder,,在文件夹中开启按钮,
TOOLTIP.StickerDragHandle,res://scene/sticker/,移动手柄,Drag to move (mouse left/right click set to top/bottom level),,拖拽以移动（鼠标左键/右键点击置顶/置底）,
TOOLTIP.StickerDragHandleBottomLeft,res://scene/sticker/,Resize手柄（左下）,Drag to resize,,拖动改变大小,
TOOLTIP.StickerDragHandleBottomMid,res://scene/sticker/,Resize手柄（下）,Drag to resize,,拖动改变大小,
TOOLTIP.StickerDragHandleBottomRight,res://scene/sticker/,Resize手柄（右下）,Drag to resize,,拖动改变大小,
TOOLTIP.PhotoStickerPannerView,res://scene/sticker/photo.tscn,照片便签，包括panner操作和打开/拖拽等操作,Mouse scroll up/down: pan view vertical\nShift+mouse scroll up/down: pan view horizontal\nCtrl+mouse scroll up/down: zoom in/out\nLeft mouse double click: fast zoom\nLeft mouse drag: panning view\nShift+left mouse drag: drag drop image file\nCtrl+left mouse: open image file,,鼠标滚轮：垂直移动视图\nShift+鼠标滚轮：水平移动视图\nCtrl+鼠标滚轮：放大/缩小\n鼠标左键双击：快速缩放\n鼠标左键拖动：平移视图\nShift+鼠标左键拖动：拖放图像文件\nCtrl+鼠标左键：打开图像文件,
TOOLTIP.SoundStickerPlayPause,res://scene/sticker/sound.tscn,声音便签播放/暂停按钮操作,Left mouse click: play/pause\nShift+left mouse drag: drag drop audio file\nCtrl+left mouse: open audio file,,鼠标左键：播放/暂停\nShift+鼠标左键拖动：拖放音频文件\nCtrl+鼠标左键：打开音频文件,左クリック: 再生/一時停止\nShift + 左マウスボタンドラッグ: オーディオファイルをドラッグアンドドロップ\nCtrl+左クリック: オーディオファイルを開く
,,,,,,
,,,,,,
,,,,,,
FANYI.ChooseLanguage,res://scene/sticker/lang.tscn,语言便签引导选择语言,Choose your language,,选择您的语言,言語を選択してください
TOOLTIP.LabelClickScroll,res://scene/sticker/,标签点击切换信息,,,,
