key,_locations
Hello pond.,res://scene/sticker/tip.tscn
Open in folder,res://scene/sticker/tip.tscn
📂,res://scene/sticker/tip.tscn
Choose language,res://scene/sticker/lang.tscn
Chinese,res://scene/sticker/lang.tscn
English,res://scene/sticker/lang.tscn
Image info,res://scene/sticker/photo.tscn
Pond Sound Sticker Pond Sound Sticker Pond Sound Sticker,res://scene/sticker/sound.tscn
00:00,res://scene/sticker/sound.tscn
∞,res://scene/sticker/sound.tscn
I>,res://scene/sticker/sound.tscn
+0db,res://scene/sticker/sound.tscn
Switch Window Embed,res://scene/main.tscn
拖到此处删除,res://scene/main.tscn
Switch desktop embed mode,res://scene/main.tscn
Show tutorial stickers,res://scene/main.tscn
Show language sticker,res://scene/main.tscn
Restore window position on start,res://scene/main.tscn
Show tooltip,res://scene/main.tscn
pond,
